Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Seniority,labels
58138,58,635,88,546,172,88,88,9.67,4
46344,38,11,1,6,2,1,6,8.16,1
71613,26,426,49,127,111,21,42,8.71,4
26646,26,11,4,20,10,3,5,8.23,1
58293,94,173,43,118,46,27,15,8.29,2
62513,16,520,42,98,0,42,14,8.65,1
55635,34,235,65,164,50,49,27,9.48,3
33454,32,76,10,56,3,1,23,8.99,3
30351,19,14,0,24,3,3,2,8.92,1
5648,68,28,0,6,1,1,13,8.15,2
7500,59,6,16,11,11,1,16,9.48,3
63033,82,194,61,480,225,112,30,8.47,4
59354,53,233,2,53,3,5,14,8.47,2
17323,38,3,14,17,6,1,5,9.57,3
82800,23,1006,22,115,59,68,45,9.45,0
41850,51,53,5,19,2,13,4,9.36,3
37760,20,84,5,38,150,12,28,9.68,3
76995,91,1012,80,498,0,16,176,9.11,0
33812,86,4,17,19,30,24,39,9.5,3
37040,41,86,2,73,69,38,48,9.74,3
2447,42,1,1,1725,1,1,1,9.33,3
58607,63,867,0,86,0,0,19,9.37,0
65324,0,384,0,102,21,32,5,8.32,1
40689,69,270,3,27,39,6,99,9.13,3
18589,89,6,4,25,15,12,13,9.34,3
53359,4,173,4,30,3,6,41,8.94,1
38360,26,36,2,42,20,21,10,8.93,1
84618,96,684,100,801,21,66,0,8.45,0
10979,34,8,4,10,2,2,4,7.96,1
38620,56,112,17,44,34,22,89,8.99,3
40548,31,110,0,5,2,0,3,9.57,3
46610,8,96,12,96,33,22,43,9.52,3
68657,4,482,34,471,119,68,22,9.21,4
49389,55,40,0,19,2,1,3,8.68,2
67353,37,702,17,151,0,8,35,8.35,1
23718,76,6,3,14,15,7,36,8.67,2
42429,99,55,0,6,2,0,4,8.23,2
48948,53,437,8,206,160,49,42,9.26,0
80011,3,421,76,536,82,178,102,9.02,4
20559,88,13,1,29,3,0,7,9.15,2
21994,4,9,0,6,3,1,3,9.36,3
7500,19,3,1,10,3,2,12,8.59,1
79941,72,123,164,266,227,30,174,7.85,4
7500,24,3,18,14,15,22,50,9.49,3
41728,92,13,6,15,3,5,13,8.95,2
72550,39,826,50,317,50,38,38,9.49,0
65486,29,245,19,125,37,67,14,7.98,1
79143,2,650,37,780,27,167,32,9.73,0
35790,54,12,6,20,30,1,3,9.34,3
82582,54,510,120,550,156,40,241,7.91,4
66373,57,328,9,124,12,24,109,8.9,3
82384,55,984,51,432,180,120,190,9.46,4
70287,30,295,35,482,121,120,40,9.09,4
27938,31,13,0,8,2,1,5,8.02,1
55954,63,447,0,28,0,0,43,8.18,2
75777,12,712,26,538,69,13,80,8.84,0
66653,18,452,18,102,16,18,6,9.66,3
61823,26,523,7,134,37,14,169,9.21,0
67680,8,546,0,48,0,6,6,8.9,1
70666,29,398,40,367,119,122,30,8.41,4
25721,75,1,3,6,3,6,15,8.96,2
32474,0,10,0,1,0,0,0,7.99,1
88194,19,688,14,309,201,24,38,8.13,4
69096,4,247,49,159,7,82,109,8.61,1
74854,90,856,59,487,58,29,73,9.08,0
66991,1,496,36,460,189,60,12,9.65,4
65031,29,258,107,291,84,37,86,9.14,4
60631,88,565,6,65,0,6,19,9.08,2
28332,58,14,10,13,4,15,9,8.02,2
40246,68,2,1,6,2,1,1,9.38,3
75251,34,721,111,925,97,18,18,9.69,0
75825,40,1032,105,779,137,105,51,9.56,4
26326,12,1,0,5,0,3,9,8.67,1
56046,9,577,0,64,0,0,51,9.34,3
29760,87,64,4,68,7,5,17,9.68,3
26304,5,4,1,5,2,0,4,8.87,1
23559,87,25,5,19,7,0,23,8.84,2
81361,18,163,23,424,27,65,76,8.19,1
29440,95,17,8,14,10,4,3,8.73,2
36138,48,130,0,16,0,0,5,8.81,3
50388,3,292,6,37,0,3,34,7.94,1
79593,70,350,60,568,110,133,145,7.98,4
54178,79,135,9,39,4,0,7,8.29,2
42394,69,15,2,10,0,1,4,8.12,2
23626,84,27,2,14,0,0,0,7.95,2
30096,30,5,3,11,12,5,9,7.96,1
47916,72,505,0,26,0,0,75,9.45,3
51813,37,51,2,7,0,1,2,9.07,3
78497,44,207,26,447,75,0,223,8.43,4
50150,32,135,46,92,65,61,11,8.88,1
47823,0,53,1,5,2,1,10,8.79,1
34554,43,41,1,6,2,0,5,8.1,1
85693,59,386,172,183,185,132,111,9.04,4
65846,68,562,81,276,80,40,81,8.97,0
87195,35,217,76,690,50,26,38,7.99,1
24594,94,1,3,6,10,0,9,8.4,2
49096,15,144,1,32,2,1,7,8.61,1
52413,56,295,106,271,75,98,65,9.25,4
38557,17,76,3,31,4,4,27,9.38,3
89058,18,454,194,106,31,22,43,9.41,4
77298,46,425,115,292,23,35,79,8.51,4
68126,40,1332,17,311,23,51,86,9.48,0
57288,27,527,0,21,0,0,60,7.86,1
86037,95,490,44,125,29,20,22,9.34,0
43974,19,378,0,101,0,0,72,9.4,3
50785,27,64,1,21,0,1,27,8.65,1
90765,25,547,99,812,151,82,33,8.28,4
36550,74,47,90,94,123,103,120,9.21,4
30753,85,12,5,25,0,9,30,8.82,2
21918,37,1,6,7,11,5,3,8.47,1
56129,65,320,48,133,39,72,48,8.88,0
32557,13,34,3,29,0,4,10,8.19,1
19510,63,9,0,7,3,4,7,8.67,2
30992,83,17,0,14,7,3,2,9.04,2
101970,69,722,27,102,44,72,168,9.15,0
71488,87,162,33,124,40,28,172,9.21,0
79607,37,450,133,951,173,0,216,9.04,4
54348,51,70,0,16,0,0,4,7.91,2
77376,72,492,19,110,16,12,12,7.99,2
62998,10,120,58,73,65,89,58,8.6,1
61331,42,534,5,47,0,5,41,9.16,3
73448,10,236,106,189,23,41,130,8.23,1
41551,51,220,0,33,3,0,23,8.73,2
62981,21,796,14,590,38,44,0,9.14,0
9548,31,0,1,3,10,6,9,9.74,3
33762,61,53,1,34,2,0,16,8.83,2
35860,37,15,0,8,4,2,20,7.96,1
36921,74,17,1,12,3,1,4,8.77,2
92859,46,962,61,921,52,61,20,9.55,0
65104,4,738,0,232,13,20,50,8.47,1
86111,73,399,28,756,36,40,126,9.05,0
68352,47,614,16,132,43,33,33,8.69,0
41883,13,32,34,41,73,16,116,9.13,3
59809,36,598,16,141,32,41,49,9.55,0
23957,47,2,1,18,20,11,16,9.52,3
38547,49,6,1,10,0,1,4,8.69,2
35688,94,73,3,90,12,1,32,9.7,3
49605,65,42,16,29,12,20,8,7.87,2
59354,59,295,21,78,39,13,13,8.03,2
65747,96,346,17,48,23,13,13,8.16,2
46344,28,233,20,57,8,20,91,9.39,3
34176,12,5,7,24,19,14,20,7.98,1
61010,57,888,0,57,0,0,76,9.57,0
69372,10,997,26,269,34,13,42,9.21,0
49967,4,212,6,69,4,12,3,8.83,1
60199,49,8,1,7,2,0,0,8.65,2
55375,3,42,11,57,10,28,14,8.55,1
80317,64,536,11,387,149,91,57,8.71,4
30523,0,5,0,3,0,0,5,8.85,1
70356,20,1349,16,249,43,16,33,9.5,0
23228,91,53,3,49,7,4,5,8.33,2
74165,9,1001,12,240,16,12,12,9.01,0
157243,98,20,2,1582,1,2,1,8.18,2
43482,83,18,1,32,6,3,28,8.48,2
62551,27,125,16,98,134,21,27,8.46,1
52332,63,212,5,33,7,0,2,8.69,2
66951,46,277,162,305,173,76,124,8.51,4
26091,84,15,10,19,8,17,20,8.19,2
33456,58,7,3,10,8,1,7,8.04,2
28718,78,12,4,6,11,8,16,8.81,2
50447,4,85,7,24,2,3,27,8.04,1
53537,17,81,0,6,0,0,6,8.26,1
52074,77,59,0,12,0,0,48,8.09,2
80427,56,1149,71,449,69,71,26,9.65,0
83837,79,847,66,119,86,89,111,9.39,0
38853,90,29,0,14,0,0,2,7.95,2
38285,96,2,0,5,2,0,1,7.87,2
51650,81,152,3,22,2,5,7,7.99,2
16248,77,12,11,10,3,12,9,7.99,2
66835,21,620,26,195,34,17,141,8.6,1
30477,16,47,1,6,0,0,12,8.28,1
28249,80,1,9,7,2,14,10,7.89,2
25271,45,10,1,18,10,4,7,9.42,3
32303,63,35,0,2,0,0,2,8.16,2
61286,34,356,0,107,19,9,117,8.76,1
74068,14,783,30,537,140,76,15,9.13,4
45759,13,42,1,18,3,0,4,9.2,3
24882,52,1,4,10,29,0,36,9.65,3
66973,98,466,22,432,147,113,102,8.97,0
38872,93,23,3,21,3,19,22,8.93,2
51148,38,235,6,45,8,9,12,9.21,3
31353,24,10,0,10,3,1,7,8.35,1
69661,80,656,16,106,32,16,8,7.98,2
80067,82,519,17,813,27,173,51,8.63,0
86718,20,344,189,482,50,33,172,9.3,4
46854,81,96,1,79,7,1,79,8.1,2
69142,50,448,4,34,6,4,39,7.85,2
75922,60,265,138,553,224,23,92,8.41,4
63693,63,587,43,337,42,87,54,8.56,0
102160,54,763,29,138,76,176,58,9.51,0
40637,72,22,0,13,0,0,3,8.8,2
18890,5,6,4,1,7,2,15,9.48,3
29604,88,7,6,13,7,6,14,8.41,2
48721,50,81,18,113,47,13,21,8.98,3
44794,99,54,0,7,0,0,4,7.91,2
64497,17,1170,48,320,42,32,192,9.65,0
46097,11,72,24,68,65,4,8,9.1,1
77972,18,613,22,319,33,102,12,8.13,1
44377,70,224,0,30,0,0,10,9.58,3
46014,21,410,0,59,19,9,44,9.29,3
70951,66,239,10,554,254,87,54,9.01,4
41443,79,171,7,171,25,19,89,8.1,2
52195,2,12,0,4,0,0,1,7.98,1
83790,81,1076,16,417,42,48,16,8.47,0
44551,24,182,4,33,0,0,66,8.68,1
69508,48,824,32,162,42,32,43,9.47,0
45204,93,30,11,25,29,1,18,8.07,2
72460,56,377,10,540,80,30,10,8.47,2
77622,3,520,7,154,19,0,14,8.06,1
30732,44,155,1,25,0,1,3,9.33,3
63887,38,897,23,207,15,11,92,9.66,0
42011,46,131,0,16,2,1,39,9.11,3
51369,84,297,7,79,0,11,182,9.53,3
51537,27,787,20,204,0,0,92,9.41,0
79930,72,792,86,740,67,51,17,9.74,0
34320,66,4,1,9,3,0,0,8.22,2
37070,30,231,7,137,4,15,39,9.13,3
81975,2,983,76,184,180,138,27,9.33,4
38590,65,3,1,8,4,3,3,8.98,3
15033,37,0,4,5,6,0,4,8.05,1
62745,89,562,21,464,28,10,32,9.12,0
22212,49,5,9,20,6,8,21,8.41,2
23661,46,18,0,4,0,0,1,8.42,1
79761,32,415,5,124,15,35,11,8.59,1
7500,54,5,3,10,12,7,20,8.36,2
73455,98,901,61,757,186,163,20,8.52,4
64961,97,382,114,276,75,124,38,9.37,0
22804,75,14,1,7,2,1,1,8.76,2
73687,8,559,153,503,218,13,181,8.44,4
61074,37,789,0,133,0,28,152,9.72,0
31686,31,11,0,5,0,0,1,7.92,1
80134,40,1218,16,272,104,0,80,8.96,0
75027,74,925,64,179,133,12,77,9.32,0
67546,90,864,134,768,150,38,172,9.68,4
65176,57,960,28,183,220,70,70,9.52,0
31160,59,16,3,25,6,1,13,8.64,2
29938,52,3,3,7,0,2,11,8.52,2
102692,5,168,148,444,32,172,148,9.08,4
26490,92,45,47,52,21,20,25,9.62,3
75702,77,650,28,353,45,42,30,9.68,0
30899,35,24,0,8,0,0,1,9.56,3
63342,48,918,21,118,13,10,21,9.55,0
45989,97,138,33,87,28,24,12,9.54,3
18701,95,12,4,2,10,6,10,8.92,2
40737,24,11,0,4,0,0,2,8.41,1
15287,60,1,2,8,4,3,13,9.57,3
69674,46,554,41,215,11,0,24,8.96,0
44159,85,167,2,62,24,13,7,7.88,2
37717,31,9,0,6,4,1,5,9.45,3
43776,9,177,2,71,3,2,20,9.25,3
38179,30,38,4,22,4,2,20,9.15,3
80124,47,483,84,398,205,84,241,7.86,4
38097,70,77,2,35,0,1,69,9.56,3
72940,13,182,74,298,162,149,116,8.88,4
22070,11,10,7,19,8,2,21,8.59,1
69267,31,778,44,499,95,73,146,9.62,0
31788,15,16,7,23,0,8,6,8.13,1
61905,2,167,0,43,6,2,13,8.25,1
29315,55,13,2,14,8,7,4,8.08,2
33378,38,33,6,40,3,7,10,9.24,3
66313,86,625,7,99,10,22,7,8.64,2
60714,56,216,162,224,101,92,162,9.3,4
77882,29,68,129,396,188,22,15,8.02,4
69867,30,196,0,512,33,130,54,9.09,3
63841,64,635,15,100,20,7,131,9.04,0
24480,46,4,19,9,28,25,17,9.23,3
65640,74,204,7,149,20,15,66,8.18,2
44319,18,26,0,8,0,0,3,8.05,1
30631,75,15,6,20,4,5,20,8.82,2
75278,17,304,98,230,150,74,74,9.27,4
50898,88,285,28,242,55,114,135,9.32,0
79946,19,395,183,565,166,141,28,7.98,4
35416,62,248,3,81,4,3,51,8.9,3
32414,11,20,6,5,0,9,12,8.84,1
38361,74,39,0,56,20,8,14,8.36,2
82497,32,777,129,573,216,21,203,9.51,4
16626,76,8,3,22,21,1,13,8.3,2
29672,6,9,1,3,0,4,8,9.15,1
55951,62,1241,0,80,0,13,40,9.7,0
35388,20,6,4,7,4,3,8,9.16,3
42386,43,65,4,16,0,4,11,9.31,3
68627,45,395,15,263,60,54,38,9.31,0
57912,34,801,0,80,0,0,35,8.14,1
35246,53,36,0,12,2,2,10,8.05,2
58821,44,513,14,154,19,0,28,8.56,1
46377,89,37,0,46,4,3,0,8.18,2
39747,43,80,15,93,20,13,52,8.06,1
23976,68,14,1,21,2,3,25,8.36,2
80950,44,525,147,112,219,147,63,9.11,4
27038,64,1,26,25,17,23,15,9.63,3
77457,85,675,11,400,15,45,11,8.17,2
64100,93,509,0,27,0,0,10,8.65,2
42670,12,154,2,46,20,4,15,9.02,1
12571,86,3,5,14,2,12,17,8.3,2
22574,28,25,0,8,2,0,2,8.52,1
70893,42,768,44,561,77,44,14,9.24,0
54198,13,185,0,28,3,2,17,8.38,1
28839,86,24,0,7,0,0,1,8.15,2
40321,59,44,4,21,6,0,27,8.77,2
66503,30,91,64,128,65,3,50,9.73,3
30833,33,11,0,7,3,1,6,8.81,1
64795,23,412,5,119,38,29,77,9.3,3
34421,81,3,3,7,6,2,9,8.85,2
47025,6,16,0,3,0,0,1,8.24,1
64325,41,731,60,353,78,12,73,9.24,0
40464,78,424,17,118,7,23,41,9.32,3
62187,49,792,0,275,45,45,126,8.84,0
14849,39,21,2,28,3,2,9,8.84,3
27255,3,22,1,11,0,1,2,8.49,1
54432,37,33,0,5,0,0,0,8.99,3
29999,22,68,7,59,10,5,11,9.22,3
24072,79,9,1,6,3,0,4,9.05,2
33996,46,40,2,15,8,0,6,8.65,1
66334,82,909,11,218,0,0,23,9.09,0
35178,10,23,1,13,2,2,18,9.32,3
22010,51,11,2,9,3,0,8,8.85,3
62204,38,317,46,247,151,46,139,9.65,4
75693,10,797,153,293,72,97,30,9.41,4
30675,14,10,2,16,11,2,21,9.48,3
83003,18,856,61,570,40,25,122,9.18,0
68655,95,456,19,832,75,118,38,9.74,0
41411,11,37,32,38,11,3,18,8.41,1
55212,65,1103,0,45,0,0,34,9.45,0
59292,71,378,14,68,19,14,14,8.9,2
27190,13,1,6,7,0,1,3,8.72,1
82623,58,204,34,204,172,153,173,8.48,4
44300,65,30,0,9,0,0,3,8.87,2
84835,0,189,104,379,111,189,218,7.89,4
30372,33,15,0,12,7,3,7,9.36,3
33181,90,9,0,3,0,0,4,8.34,2
71113,95,495,33,255,11,33,8,8.38,2
71952,93,656,80,455,52,107,93,9.32,0
69759,38,452,20,514,13,30,0,8.52,1
72099,18,546,91,410,119,0,22,9.52,4
60000,57,1048,0,217,0,0,12,9.37,0
38643,45,22,2,14,0,1,10,8.43,1
50737,61,78,0,11,0,0,10,8.99,3
68462,6,561,64,785,84,128,48,9.4,4
65073,65,629,17,177,69,0,8,8.71,0
46681,52,269,15,69,15,19,38,8.58,2
78618,87,736,163,818,212,163,61,9.6,4
62187,38,512,0,83,0,0,41,8.12,1
28442,53,19,3,10,11,8,6,8.19,2
51479,67,247,8,160,6,8,65,9.35,3
54803,65,404,0,92,28,27,142,9.71,3
79530,64,333,0,815,129,42,29,8.97,0
31615,82,2,3,20,6,11,9,9.14,3
72025,27,833,33,549,151,133,233,9.47,4
52614,63,789,0,142,12,9,38,9.43,0
35684,66,10,4,7,0,6,3,8.04,2
48178,69,159,4,45,6,2,38,9.52,3
29548,52,7,1,6,3,1,11,8.68,2
63810,45,977,12,253,16,12,101,9.48,0
38578,2,38,4,22,3,3,3,8.87,1
46098,86,57,0,27,0,0,36,9.72,3
22585,23,3,9,15,13,2,39,9.13,3
30279,13,10,4,14,4,4,1,9.35,3
66426,14,1043,24,97,32,24,157,8.59,0
30822,92,3,9,13,2,12,12,8.89,2
33581,38,11,0,5,0,0,1,9.32,3
19986,74,3,6,5,0,2,6,8.47,2
27421,14,43,12,96,78,40,55,9.4,3
36143,33,12,0,1,0,0,6,8.1,1
10245,32,4,7,7,6,4,13,8.98,3
43795,11,314,11,53,4,3,107,8.55,1
63381,78,571,50,142,33,50,159,9.58,0
38823,56,70,0,11,2,8,23,9.68,3
83664,57,866,21,151,28,21,86,8.99,0
90300,7,594,134,786,33,134,57,8.34,4
62499,0,140,4,61,0,13,4,8.41,1
74293,66,375,152,335,93,91,81,8.01,4
51012,86,102,9,63,2,9,24,9.05,2
70777,80,554,35,113,0,7,78,8.19,2
68682,56,919,0,505,99,30,45,8.58,0
43824,18,96,1,42,12,3,32,9.64,3
15345,51,5,2,16,3,2,19,9.68,3
23442,71,2,0,6,8,6,5,9.36,3
14515,71,6,4,9,6,36,35,9.49,3
31395,80,23,1,25,0,8,7,9.12,3
75276,2,610,105,125,137,42,21,9.61,4
42373,83,67,5,61,3,8,19,8.72,2
30507,29,65,36,74,38,20,110,9.15,3
55521,11,416,0,26,0,0,4,8.54,1
48006,55,23,0,11,3,2,2,7.91,2
27213,19,19,3,26,10,9,3,9.68,3
65808,1,155,7,80,13,7,10,7.93,1
30351,19,14,0,24,3,3,2,8.92,1
50437,28,370,9,92,6,9,4,9.55,3
23616,76,4,22,11,3,7,32,9.47,3
53858,50,407,53,221,58,150,26,9.49,0
66465,1,1200,0,204,38,29,14,9.1,0
46923,90,85,44,54,102,78,6,9.7,3
75072,83,583,34,309,0,22,125,9.28,0
75865,73,483,0,591,156,0,12,8.1,2
19789,24,2,5,9,28,6,28,8.46,1
80134,11,966,26,282,52,26,26,8.22,1
91065,33,822,114,108,179,137,114,9.2,4
49505,4,604,0,100,19,0,28,9.17,1
37401,14,19,3,19,3,1,3,8.0,1
18492,75,2,2,2,2,1,1,7.92,2
82584,26,1076,68,103,29,91,68,8.92,0
93027,77,1285,42,716,55,0,21,9.06,0
48686,8,10,0,7,2,0,1,8.42,1
92910,42,551,137,792,179,103,33,8.03,4
75433,28,800,0,297,0,34,57,8.08,1
10404,52,2,2,11,10,6,12,8.01,2
61314,1,378,0,189,97,172,172,9.03,4
84865,1,1248,16,349,43,16,16,8.99,0
42387,42,235,0,235,19,4,191,9.52,3
67309,76,515,47,181,149,95,95,9.28,0
75236,27,438,66,400,12,38,114,8.44,1
30015,28,25,0,22,2,3,5,8.25,1
50943,49,31,0,7,2,0,6,8.87,3
67272,12,357,35,271,28,28,14,8.37,1
51529,14,400,4,35,6,0,22,8.66,1
32011,89,99,0,15,2,1,5,8.7,2
7500,96,1,11,5,4,6,9,9.24,3
28691,56,5,4,13,8,0,4,8.84,3
56223,72,77,28,31,16,0,4,8.38,2
18100,14,3,1,2,4,3,1,8.75,1
20130,99,0,6,3,7,6,12,8.14,2
23295,72,0,0,1,2,12,5,8.81,2
42618,92,76,14,74,13,5,10,8.57,2
81246,87,398,190,537,61,156,37,8.35,4
24027,7,14,7,11,11,0,5,8.91,1
55707,91,208,7,82,30,66,35,8.37,2
57959,71,430,16,322,43,24,33,9.01,0
56796,24,656,38,161,62,47,37,9.22,0
36230,17,14,2,30,8,2,3,8.55,1
70829,87,141,70,106,72,19,23,8.43,2
65991,21,507,19,364,25,47,9,9.66,3
38988,90,164,24,103,12,3,42,9.71,3
89572,44,606,24,974,197,194,64,9.64,4
42207,71,116,11,72,3,17,46,9.1,3
50300,52,143,15,60,24,23,5,7.95,2
66664,78,398,96,447,220,96,32,9.61,4
60597,2,522,0,257,32,16,66,8.34,1
70165,60,161,0,253,199,191,122,8.62,4
50520,25,112,0,6,2,1,14,8.27,1
33183,46,7,5,39,17,15,37,8.19,1
66582,83,789,25,420,16,38,0,8.18,2
75261,17,1239,17,413,23,34,17,9.04,0
31880,13,4,1,5,2,0,3,9.51,3
53790,86,335,42,127,28,5,5,8.17,2
49269,92,639,8,166,11,8,58,9.72,0
61456,47,563,76,384,84,192,89,9.11,4
37406,18,2,0,8,2,2,3,8.57,1
56937,81,746,8,125,11,8,8,9.75,0
38415,91,22,1,13,4,0,4,9.34,3
20518,58,4,1,6,4,1,9,7.97,2
62503,40,478,0,193,110,75,117,9.21,0
41644,67,20,3,4,2,0,2,7.99,2
55842,19,451,0,39,0,4,24,7.95,1
62010,93,371,22,39,6,0,92,9.53,3
41124,41,281,7,84,15,0,119,9.51,3
38961,60,19,7,19,0,1,24,8.35,2
37760,54,26,3,13,2,10,0,8.73,2
32233,26,138,15,35,25,11,72,9.71,3
43057,30,213,2,44,0,2,5,8.52,1
83151,93,407,28,100,120,74,18,9.57,0
78825,35,483,74,114,169,37,18,9.64,4
65104,4,738,0,232,13,20,50,8.47,1
60093,92,502,12,109,16,6,90,8.86,2
14045,24,11,0,5,2,1,1,8.27,1
28457,96,24,1,108,29,29,14,9.52,3
78952,11,1170,19,594,99,76,134,9.61,0
46310,99,185,2,88,15,5,14,9.42,3
76005,72,983,20,389,240,50,40,9.2,0
58308,77,691,0,69,10,0,130,9.31,0
55614,85,504,13,131,8,0,26,8.44,2
59432,88,317,25,265,25,19,12,9.06,2
55563,22,29,1,9,2,0,2,8.08,1
78642,83,1396,0,322,46,35,17,9.04,0
67911,63,529,0,356,63,28,0,7.96,2
65275,9,388,14,218,91,14,21,9.09,1
27203,92,13,2,21,4,0,24,9.75,3
48330,2,28,0,4,0,0,0,8.47,1
24279,6,16,36,21,20,62,108,9.35,3
64355,66,1047,0,140,67,38,153,9.7,0
53653,29,815,10,239,28,10,108,9.49,0
65665,77,225,162,387,106,36,29,8.42,4
81217,77,493,70,324,146,40,84,8.8,4
34935,71,34,4,66,3,10,20,8.87,2
61250,49,382,138,65,60,26,59,9.39,4
39665,97,127,1,56,0,1,31,8.95,2
60152,6,325,83,300,86,58,91,9.11,4
48920,93,238,17,68,8,10,6,8.54,2
89120,78,1168,92,408,72,129,55,8.14,4
44124,62,284,0,55,0,6,52,8.99,3
81169,47,1288,20,613,80,61,27,9.06,0
36443,9,65,0,46,4,3,20,9.25,3
26095,77,11,7,9,3,1,11,8.85,2
71367,24,227,23,389,42,21,75,8.7,1
80184,19,1035,134,670,25,38,0,8.18,4
30630,67,27,1,12,2,0,10,8.27,2
73454,95,982,73,351,56,14,175,8.18,0
42691,48,179,2,64,38,17,58,8.72,1
70503,73,1379,33,216,0,33,66,9.6,0
25545,35,32,1,64,16,12,85,9.66,3
32880,76,8,4,15,7,6,2,9.42,3
77863,20,881,38,319,16,25,12,8.44,1
50353,72,141,15,153,67,31,35,7.91,2
61839,20,1000,155,379,224,17,120,9.73,4
49154,69,206,10,67,30,27,71,8.5,2
47682,80,162,61,83,97,57,61,9.22,0
