Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Seniority,labels
72679,65,619,54,260,127,54,54,8.63,4
57954,52,456,4,24,0,0,9,7.88,2
65316,65,112,6,92,3,9,38,9.03,3
28567,57,11,3,22,2,2,6,8.88,3
47352,70,172,12,112,8,0,15,9.07,3
44931,0,78,0,11,0,0,7,8.3,1
76982,19,464,151,292,65,60,30,8.22,4
57247,50,99,4,32,37,54,6,8.74,2
22944,67,19,3,19,4,5,26,8.37,2
25315,46,1,9,8,11,3,22,8.49,1
43638,37,63,10,83,7,19,19,9.75,3
42710,38,252,3,42,4,3,102,9.44,3
84169,9,1478,19,403,0,19,0,8.75,0
54058,56,198,18,252,32,108,54,8.92,3
24683,98,8,4,10,6,7,6,8.16,2
85620,68,416,46,925,60,107,46,8.33,4
47850,72,42,7,43,20,12,10,8.42,2
19514,47,14,3,21,2,1,28,8.27,1
27159,33,17,0,3,0,0,1,8.1,1
39548,87,15,4,10,3,4,18,8.1,2
21474,0,6,16,24,11,0,34,8.08,1
60504,73,458,0,24,6,4,34,8.24,2
22419,74,30,3,47,19,21,42,9.05,3
81698,4,179,28,520,111,123,47,8.5,4
43462,50,90,17,97,15,6,15,9.65,3
54880,57,308,85,137,102,45,118,9.18,4
79908,30,557,129,761,29,185,111,9.08,4
15315,27,7,4,13,15,8,17,8.76,1
87771,61,1492,38,287,50,57,33,8.96,0
33039,4,30,8,12,8,8,12,8.65,1
81741,75,249,153,940,58,134,38,8.89,4
71499,12,465,25,132,136,0,37,8.86,1
62466,13,129,129,259,168,121,83,8.3,4
48799,9,174,18,81,28,6,24,8.5,1
52157,48,189,2,29,3,2,40,7.91,1
66565,80,747,10,161,65,40,42,9.42,0
29298,60,6,0,2,2,0,1,8.66,2
47691,43,14,0,3,0,0,4,8.84,3
38200,19,12,0,4,0,0,1,9.41,3
44989,26,98,0,106,49,10,106,9.65,3
38443,58,32,0,5,0,0,1,8.27,2
38593,42,51,12,49,17,24,24,8.64,1
64413,27,200,5,44,0,10,20,8.76,1
36959,56,25,6,25,6,0,0,8.59,2
61996,27,1050,12,144,0,0,24,9.26,0
51287,10,117,0,22,13,0,30,8.1,1
13260,48,9,4,17,10,2,7,8.7,2
47472,39,56,0,11,0,0,8,8.64,1
54603,85,145,13,46,17,2,4,8.82,2
45207,64,203,0,10,0,0,2,9.48,3
47821,54,9,0,16,6,6,10,8.54,2
27450,57,37,12,23,8,11,52,9.06,3
39453,64,46,0,7,0,0,2,8.09,2
26850,10,31,1,13,7,2,9,8.05,1
79800,65,1060,21,530,32,0,224,9.62,0
61794,74,264,47,188,54,47,11,8.64,2
53863,4,399,4,30,6,4,30,7.97,1
24221,94,8,9,9,2,5,22,8.71,2
39684,41,19,0,35,6,4,17,9.56,3
92163,25,817,183,797,106,163,20,9.4,4
69882,94,292,127,635,132,127,165,8.48,4
33178,9,12,6,2,11,2,16,8.26,1
59973,47,130,30,168,20,34,0,8.65,1
17459,12,6,4,16,3,10,30,8.63,1
23910,80,16,12,18,7,1,13,9.53,3
42169,20,19,0,9,0,0,2,8.55,1
26224,39,4,7,15,13,9,15,8.92,3
31089,57,31,3,31,2,8,4,9.72,3
30081,27,36,0,2,0,0,4,9.2,3
62807,83,526,28,135,10,21,99,9.68,0
72906,79,400,32,519,71,75,54,8.63,0
61467,69,410,16,114,0,5,49,9.41,3
49618,77,80,3,26,4,2,14,9.27,3
21888,15,88,10,46,2,3,64,9.35,3
26150,61,5,1,13,3,5,1,9.15,3
30801,23,8,4,5,15,2,11,9.53,3
81168,84,410,0,592,147,22,22,8.0,2
26877,74,101,13,76,20,18,40,8.71,2
45006,90,162,25,53,16,0,10,8.8,2
18978,41,2,8,1,4,7,15,9.4,3
48240,73,389,91,248,64,49,41,9.49,0
45837,88,215,13,87,17,17,24,8.78,2
35791,94,27,0,5,0,0,3,9.0,2
162397,31,85,1,16,2,1,2,8.92,1
54162,31,5,6,10,6,5,10,9.13,3
30522,6,179,8,83,19,11,26,9.72,3
54456,23,352,0,27,10,0,15,8.82,1
31632,92,17,8,12,11,15,32,8.81,2
72298,52,625,35,169,58,17,35,8.16,2
36975,50,10,6,11,0,4,2,8.35,2
72635,54,390,22,323,104,35,107,8.92,0
13624,93,10,2,15,2,1,6,9.29,3
84196,56,215,63,507,231,31,190,8.92,4
70971,28,1001,17,572,93,125,17,9.62,0
34487,94,19,18,33,24,1,8,9.66,3
28769,76,41,5,129,10,3,3,9.38,3
69084,43,1181,107,199,39,30,30,8.46,0
65488,46,603,45,207,36,18,54,7.9,1
32218,27,10,24,15,13,1,30,8.22,1
83917,12,514,22,732,42,198,79,9.05,4
46102,3,14,0,1,0,0,1,8.16,1
84574,72,387,20,713,38,54,163,8.92,0
56181,6,121,103,69,8,44,48,9.32,3
63120,53,965,69,279,54,41,69,9.6,0
73691,58,707,21,250,85,43,73,8.5,0
76140,57,586,66,653,17,0,26,7.98,2
62859,37,1063,89,102,16,12,25,9.35,0
45906,20,305,3,27,4,3,144,9.0,1
77632,73,1200,105,758,0,42,147,9.16,0
46463,56,163,2,40,8,11,11,8.72,2
105471,36,1009,181,104,202,21,207,9.29,4
55282,9,125,6,73,8,4,19,8.39,1
78710,42,721,0,152,119,50,50,7.95,1
66886,28,315,4,62,41,31,146,8.64,1
98777,23,1000,19,711,125,115,38,8.21,4
29103,38,16,0,17,6,3,6,9.69,3
67445,63,757,80,217,29,80,11,9.73,0
50616,71,30,2,25,0,1,9,8.06,2
49431,9,219,3,100,26,0,17,9.76,3
153924,81,1,1,1,1,1,1,8.24,2
61278,87,111,3,28,2,6,15,8.33,2
73059,36,410,112,420,0,82,71,8.68,4
46734,86,100,1,39,6,1,76,8.54,2
56253,83,509,0,65,7,11,5,9.41,3
58330,87,445,53,213,104,98,151,8.36,4
25965,29,2,2,11,41,7,11,9.66,3
14661,88,4,1,11,6,2,2,9.34,3
18690,77,6,1,7,23,4,19,9.35,3
45068,25,14,0,3,0,0,3,8.97,1
21063,34,1,10,11,19,3,15,8.61,1
29187,43,26,0,6,0,0,2,8.99,3
54690,76,111,16,37,7,9,18,8.49,2
59304,81,418,61,428,80,51,10,8.77,0
59247,87,327,9,122,19,14,83,8.49,2
66731,33,371,159,194,58,106,141,9.65,4
77353,38,275,59,107,69,101,59,8.39,4
26751,26,1,1,5,0,3,1,7.96,1
81300,17,1004,12,145,32,12,36,9.52,0
70337,75,187,81,149,25,43,91,8.34,2
36145,13,56,4,76,17,1,18,8.89,1
65295,19,365,32,117,34,110,6,8.37,1
68118,51,595,23,123,10,23,154,8.55,0
68743,81,1132,134,384,175,134,115,9.68,4
41039,32,34,11,137,179,61,45,8.78,4
38946,84,116,6,82,6,6,41,8.53,2
65777,87,565,32,435,28,32,54,8.38,2
66476,99,372,18,126,47,48,78,9.16,0
86857,96,899,102,838,133,102,40,9.65,0
160803,21,55,16,1622,17,3,4,9.75,0
77845,40,760,40,480,0,40,26,7.97,1
69476,3,260,86,559,63,9,67,8.6,1
50611,98,459,0,24,6,0,4,9.59,3
61209,73,466,0,224,119,49,99,8.7,0
42315,90,67,15,80,17,11,80,8.82,2
13084,29,2,0,7,3,7,10,8.51,1
47570,3,67,1,20,0,2,31,8.94,1
61923,94,92,4,18,3,3,6,8.78,2
34824,65,4,2,11,2,0,4,8.11,2
26518,33,20,1,28,3,3,2,9.08,3
45938,46,273,11,178,62,83,29,8.5,1
78468,29,434,22,388,104,22,34,8.07,1
78901,99,321,11,309,33,26,34,8.63,2
71427,26,212,123,177,15,64,23,8.15,1
71022,30,909,12,278,0,12,242,8.23,0
90247,27,1184,32,352,21,16,16,8.02,0
41335,24,112,19,21,16,14,5,8.36,1
35682,34,23,0,8,6,2,18,7.86,1
43185,88,537,6,42,16,6,30,9.07,2
66375,96,712,0,45,0,0,191,8.45,2
25252,26,1,3,4,2,2,6,8.82,1
55250,49,664,58,83,32,0,66,9.54,0
33249,11,6,10,21,19,14,42,9.21,3
58398,44,299,5,201,21,21,49,8.98,3
50272,75,99,13,66,43,8,4,8.75,2
76618,64,749,40,294,121,160,147,9.41,0
87305,19,345,25,501,63,138,80,9.62,0
25851,45,9,4,18,7,5,5,9.23,3
58710,77,440,81,368,0,122,174,9.1,0
45160,9,8,2,5,3,0,3,8.1,1
74806,1,670,9,249,0,28,9,9.38,3
59111,90,524,0,134,28,28,155,9.01,0
18988,43,6,0,6,2,1,1,7.95,1
72190,79,597,166,597,172,166,249,9.22,4
7500,19,7,0,12,13,7,32,9.76,3
80395,62,445,25,706,80,76,48,8.45,0
75012,41,294,142,218,164,58,151,8.28,4
56962,60,292,3,77,10,3,26,8.57,2
89891,17,412,22,132,59,28,183,9.06,0
35946,24,8,0,3,0,0,0,8.61,1
53593,60,349,4,78,6,0,43,9.75,3
45072,74,144,2,99,7,2,30,8.55,2
89694,22,1126,28,211,37,28,42,8.57,0
72025,46,967,0,617,43,50,0,8.02,0
67432,69,432,79,341,177,136,170,9.1,4
70545,29,138,39,63,55,18,21,7.92,1
17487,37,0,0,1,7,4,6,9.13,3
62882,26,509,133,497,78,24,97,9.74,4
64108,8,948,10,86,13,21,21,9.12,0
34941,26,39,2,25,4,3,24,9.17,3
48767,79,28,1,21,3,0,10,8.34,2
38702,71,13,11,24,13,8,40,8.76,2
82224,83,307,26,360,138,31,40,8.28,2
83844,57,901,31,345,75,31,191,8.98,0
17003,37,2,5,12,4,8,7,8.41,1
71163,30,283,17,372,138,106,44,8.16,4
33697,34,4,3,7,0,3,11,8.64,1
63564,0,769,80,252,15,34,65,8.27,1
83443,89,518,42,742,55,56,84,8.35,0
51518,92,350,8,66,17,4,4,8.59,2
80952,20,778,178,689,41,27,44,9.18,4
75507,56,709,93,374,104,80,80,8.01,4
63855,28,359,35,314,93,116,89,9.24,4
62220,55,799,12,375,16,12,12,9.73,0
58512,25,895,10,101,13,0,152,8.63,0
40662,0,40,2,23,0,4,23,9.14,1
38829,86,76,0,7,0,0,16,8.08,2
35523,8,11,5,22,12,5,11,8.59,1
79146,33,245,16,223,21,43,16,8.03,1
78285,13,647,107,391,175,67,40,8.52,4
31626,12,39,1,9,2,1,34,8.99,1
75127,92,203,35,305,46,17,227,7.96,2
48726,90,138,3,38,4,0,59,9.02,2
74985,8,587,51,898,247,0,86,9.65,4
67430,6,595,97,291,127,133,121,9.67,4
46891,91,43,12,23,29,15,61,8.68,2
62058,52,301,7,74,10,0,58,8.95,3
72063,3,180,32,348,76,32,90,8.84,1
78939,57,794,115,243,150,0,205,8.4,4
42720,9,392,5,91,28,26,112,9.03,1
33622,22,39,1,22,3,4,12,9.06,3
6835,76,107,2,12,2,2,12,9.41,3
41452,86,13,0,3,0,0,0,9.17,3
40760,64,70,0,17,0,0,6,8.68,2
74250,90,680,11,392,75,0,0,8.27,2
51124,79,26,1,11,0,1,4,8.38,2
72258,28,522,0,522,227,120,134,8.65,4
71466,86,412,12,546,78,182,0,8.08,2
36283,42,6,5,5,8,0,5,8.06,1
20587,39,2,3,6,4,1,9,7.99,1
30467,8,1,3,8,2,5,5,8.13,1
31590,40,6,2,15,6,6,3,8.88,3
20425,5,4,12,5,3,16,17,9.52,3
17144,96,18,2,19,0,2,6,8.22,2
42564,28,324,48,186,39,18,198,9.34,3
43783,22,327,9,125,25,4,139,7.94,1
40780,30,229,27,71,13,3,34,9.66,3
62847,45,521,168,706,80,76,61,9.3,4
82017,58,184,23,446,30,23,23,9.49,3
16813,49,4,8,11,12,2,13,8.8,3
51267,37,183,2,64,7,2,12,8.52,1
46524,70,31,19,35,26,14,52,9.08,3
45183,33,219,3,60,12,9,12,9.29,3
70421,98,479,28,136,75,14,35,7.85,2
60161,17,584,44,212,46,8,177,9.53,0
73926,54,627,91,597,159,91,15,9.18,4
19329,39,24,1,16,12,2,5,8.39,1
61872,81,330,5,159,36,27,16,8.39,2
46984,71,19,1,10,2,1,8,9.11,3
34838,62,28,23,29,29,14,47,9.29,3
82716,8,606,148,228,15,148,22,8.5,4
48192,76,1039,43,204,153,58,29,9.08,0
49681,66,411,0,26,0,0,21,8.5,2
56850,83,34,1,19,2,7,0,8.12,2
55267,28,161,28,136,32,3,45,8.54,1
59666,87,623,53,178,23,17,133,9.12,0
72504,43,604,26,470,123,161,94,9.08,4
26872,0,3,10,8,3,16,32,8.55,1
21359,1,12,2,17,6,1,10,9.04,1
73170,1,184,174,256,50,30,32,7.93,4
52750,72,393,0,239,90,69,69,9.25,0
91820,72,410,73,747,76,161,30,8.45,4
65968,12,376,9,83,19,4,4,7.98,1
30772,89,7,2,4,2,1,4,8.15,2
22507,67,68,0,226,51,157,68,9.45,3
65685,54,642,14,49,0,7,57,8.1,2
25804,34,8,7,9,13,6,12,8.68,1
76412,15,840,53,804,23,71,17,9.0,0
22063,43,7,10,13,3,11,11,8.74,1
57091,0,464,5,64,7,0,37,7.89,1
78353,51,752,122,476,39,153,34,9.05,4
93404,97,1279,15,287,20,0,15,9.0,0
37859,75,22,1,8,2,1,2,9.31,3
80995,83,860,28,409,73,56,56,8.99,0
16529,23,3,0,5,13,0,1,8.18,1
55412,65,10,5,28,11,1,8,8.45,2
48789,94,351,16,156,7,5,145,9.65,3
56575,42,421,5,90,0,16,10,9.0,3
25130,10,2,5,7,0,18,18,8.59,1
35441,94,25,1,9,2,1,1,9.22,2
71391,50,336,123,274,46,123,141,9.1,4
49494,46,191,9,97,0,6,82,9.03,3
81702,98,563,50,774,28,31,187,9.62,0
45889,42,31,0,6,0,1,8,8.84,3
56628,30,479,5,82,7,17,171,8.13,1
34026,11,18,6,15,12,8,17,8.75,1
40049,61,91,65,52,10,44,28,9.43,3
34176,12,5,7,24,19,14,20,7.98,1
19419,76,2,14,28,16,3,7,9.48,3
82504,2,362,50,431,134,35,54,8.78,4
81205,43,724,74,929,97,55,130,8.31,4
61618,27,605,91,399,0,45,205,9.6,0
55284,60,547,7,140,0,7,63,9.36,3
49980,79,104,1,54,13,9,14,8.53,2
15072,96,8,2,15,0,10,18,8.99,2
49166,17,224,2,25,7,0,110,8.9,1
82347,38,556,54,845,202,133,63,9.5,4
30843,43,24,0,2,0,0,9,7.95,1
46374,1,408,0,21,0,0,17,8.14,1
60474,25,265,199,303,234,9,170,9.1,4
38576,2,34,0,7,0,0,0,8.17,1
55357,66,374,64,116,84,25,64,9.21,0
37758,49,27,2,10,0,0,1,9.59,3
85710,5,600,20,350,29,30,33,9.0,1
23228,71,13,2,18,6,1,0,8.27,2
44602,35,167,2,89,0,0,34,8.22,1
7500,94,0,2,3,4,1,5,9.32,3
38683,80,46,35,69,84,41,66,9.59,3
49514,61,88,39,78,58,13,93,8.38,2
57906,29,243,11,119,10,3,15,8.9,1
43456,0,275,11,68,25,7,7,9.11,1
19485,80,6,0,4,0,0,0,8.61,2
53172,54,121,62,90,68,20,125,9.0,3
30545,71,4,12,15,19,7,12,9.55,3
70123,27,1308,0,396,23,0,0,8.6,0
62450,61,515,47,267,62,66,38,8.33,2
21675,55,4,0,16,17,4,4,7.9,2
42395,35,48,13,57,24,15,25,8.09,1
61346,34,562,58,168,43,16,142,8.58,0
80812,95,769,22,500,210,143,33,8.63,4
42835,64,379,4,93,12,9,98,8.85,2
39922,30,29,12,59,19,1,36,9.22,3
86424,12,387,68,569,89,45,68,8.08,4
17117,96,12,23,38,30,18,7,9.3,3
24762,16,6,10,12,3,15,40,8.23,1
35797,16,27,1,14,4,1,21,9.55,3
36627,78,9,1,5,0,0,1,8.79,2
51111,83,22,0,19,6,5,3,7.88,2
82072,67,889,55,685,168,92,129,8.84,4
46231,87,189,2,55,0,5,12,9.44,3
42243,34,48,0,2,0,0,5,8.4,1
51195,46,230,14,156,82,24,58,9.1,3
68092,7,852,60,207,78,36,48,8.39,4
31814,73,35,3,20,4,1,20,9.24,3
51390,54,205,20,47,23,2,56,9.66,3
76630,93,255,31,446,40,56,175,8.31,2
26868,52,0,0,1,8,3,2,8.02,2
55260,81,825,8,53,11,0,242,9.4,0
64090,8,316,58,161,76,51,135,8.75,4
78331,97,756,138,354,160,169,61,8.28,4
37087,50,194,55,134,15,0,3,8.73,2
21846,38,7,17,18,6,10,26,8.54,1
81320,61,183,33,493,59,103,57,9.24,0
54137,46,171,0,11,0,1,20,8.72,1
66825,73,243,101,405,29,40,40,8.81,0
57100,19,181,21,69,39,3,96,8.42,1
58917,10,151,7,89,0,7,28,9.12,1
85072,94,494,92,391,194,11,241,8.07,4
86429,10,464,28,873,29,18,37,8.45,1
45684,37,5,1,5,10,0,7,8.42,1
47889,94,29,0,29,0,5,4,8.33,2
45921,23,102,9,49,24,3,12,8.16,1
78420,75,604,28,674,91,28,28,8.85,0
75114,40,571,12,523,63,60,24,8.49,0
52278,24,953,0,71,0,0,174,9.28,0
35641,11,63,3,67,8,9,28,8.81,1
95529,29,770,29,890,250,27,24,9.42,4
62820,51,398,61,265,138,61,53,8.99,4
73113,86,741,19,154,50,9,28,8.36,2
42607,30,156,29,56,30,32,47,8.47,1
74637,73,960,64,464,146,0,16,8.97,0
46015,25,38,0,2,0,0,6,8.06,1
72354,67,315,26,473,220,12,182,9.05,4
39858,67,15,20,25,2,7,26,9.28,3
34469,58,19,6,20,0,5,12,8.01,2
83033,82,812,99,431,237,149,33,7.97,4
24401,98,73,28,217,10,24,115,9.68,3
77583,93,372,23,384,250,12,108,8.23,4
74116,53,871,111,704,145,55,166,8.35,4
68397,6,760,80,466,17,13,80,8.47,1
79632,42,471,0,510,99,21,12,8.08,1
46107,78,31,9,27,16,9,33,8.23,2
64950,29,819,0,72,12,0,63,9.73,0
25443,82,1,4,3,8,9,7,9.37,3
32892,78,26,0,15,2,1,2,7.95,2
71796,54,354,21,311,167,75,32,8.53,4
67536,45,1253,0,447,23,71,35,8.96,0
55239,59,371,17,238,23,24,106,8.81,0
60554,8,588,7,76,110,15,15,8.74,1
64831,51,480,86,249,75,86,144,8.9,4
56067,51,517,12,54,16,6,120,8.79,0
82025,76,267,98,606,48,70,98,8.94,4
94384,62,1111,24,790,160,45,172,9.17,0
14906,86,7,7,14,7,16,15,9.37,3
51563,60,1166,0,48,0,0,36,9.59,0
57937,56,261,42,144,55,48,133,8.22,2
68274,83,135,25,51,23,25,46,8.6,2
39771,92,6,2,18,2,8,14,8.41,2
67893,31,711,28,142,49,18,47,9.59,0
27922,80,11,0,13,2,4,11,7.99,2
52190,39,42,0,17,0,0,18,7.99,1
44051,20,79,7,58,6,3,18,9.27,3
42767,53,20,6,43,19,5,38,8.99,3
46106,84,30,0,8,2,0,14,7.99,2
16927,50,20,2,23,3,1,4,9.23,3
59754,96,115,27,44,4,146,139,9.43,0
53700,94,263,5,233,69,41,83,9.72,3
59041,25,69,2,15,2,2,6,8.0,1
54237,48,267,3,30,4,0,57,9.02,3
70647,65,561,85,171,25,123,114,9.62,0
52597,69,492,0,37,7,0,42,8.0,2
41021,12,14,7,9,6,16,12,9.35,3
40233,84,80,4,46,0,17,2,8.56,2
50183,47,97,12,84,13,10,15,7.86,1
54753,87,197,107,227,7,59,131,8.65,2
92955,35,693,21,925,31,24,84,8.71,0
33471,47,43,2,27,0,9,12,9.56,3
34596,48,14,0,2,0,0,7,9.06,3
44010,46,186,36,234,86,72,48,9.56,3
84219,27,434,137,400,45,137,45,8.25,4
40706,37,59,0,11,4,2,5,9.3,3
15716,8,16,5,30,8,7,26,9.48,3
59052,29,230,35,75,63,57,31,8.47,1
80573,85,829,138,430,60,92,15,9.56,0
83715,2,318,8,407,150,35,8,8.25,1
82576,66,1206,55,445,168,18,18,9.76,0
35704,54,30,9,12,2,11,30,8.34,2
53103,70,729,17,133,11,0,195,8.65,0
46779,55,12,1,3,0,0,7,8.82,2
4861,20,2,1,1,1,0,1,7.87,1
33462,78,22,3,18,0,0,11,8.75,2
80763,17,674,168,108,192,42,231,8.72,4
65352,43,284,3,84,4,7,23,8.71,1
82170,13,1023,93,651,49,55,37,8.44,4
75759,46,1394,22,708,89,91,182,8.53,0
79689,65,311,26,640,180,37,121,8.98,4
35340,1,27,0,12,0,1,5,7.85,1
85683,6,1296,17,311,45,69,51,8.13,0
24884,32,3,6,7,0,0,3,9.43,3
42021,34,393,5,136,7,5,27,9.68,3
64449,70,218,63,282,137,35,70,8.21,4
64587,49,66,0,16,0,6,20,7.87,2
75437,25,795,0,545,95,58,0,8.49,0
52845,7,384,25,292,130,41,64,8.73,4
46086,34,244,8,32,7,2,50,8.5,1
78028,38,158,19,288,25,0,38,9.65,3
95169,1,1285,21,449,106,20,20,8.57,0
56337,25,349,16,144,28,5,182,9.11,3
22434,25,4,12,11,3,13,15,9.22,3
36930,50,223,2,31,0,2,39,8.97,3
36130,46,157,43,127,68,56,37,9.25,3
65569,96,397,46,288,20,38,70,9.5,0
19514,47,14,3,21,2,1,28,8.27,1
36736,52,10,0,3,0,0,4,8.99,3
77568,30,1230,0,396,232,178,158,9.7,4
49187,63,81,1,31,2,1,0,8.32,2
30168,51,154,20,66,0,12,27,9.16,3
34053,14,63,0,21,7,0,12,9.65,3
38196,20,30,0,11,0,0,3,8.05,1
59412,56,90,67,165,30,43,11,8.05,2
70924,41,635,114,254,132,152,76,8.08,4
54165,72,127,4,73,15,6,11,8.94,2
32300,1,13,3,6,6,5,6,9.34,3
20180,27,18,42,24,15,20,18,9.21,3
34961,77,45,2,26,4,1,1,7.88,2
28440,87,38,1,24,0,0,0,8.83,2
64504,81,986,36,168,16,0,108,9.17,0
33564,51,61,0,3,0,0,7,7.87,2
17345,79,4,9,16,17,0,12,9.5,3
56320,11,201,53,172,116,77,83,9.08,4
28647,54,19,8,29,0,12,26,8.71,2
15038,93,4,8,11,19,12,26,9.27,3
32173,0,18,0,2,0,0,2,8.76,1
68316,54,806,80,161,120,11,33,9.5,0
74538,21,380,98,733,110,112,28,8.85,4
91700,58,576,172,961,125,115,19,9.3,4
68695,3,458,81,356,106,50,40,7.86,4
31056,99,5,10,13,3,8,16,9.28,3
28071,65,39,33,130,41,26,44,9.68,3
37334,44,26,1,16,2,2,15,8.19,1
46423,6,68,0,16,0,0,8,8.63,1
37126,9,45,3,9,4,4,7,8.1,1
47703,95,359,0,134,13,26,123,8.94,2
61180,70,403,24,29,6,24,218,8.04,2
38998,92,34,1,14,0,0,5,9.5,3
8028,62,73,18,66,7,12,2,9.63,3
76081,85,292,30,415,63,33,200,7.95,2
34728,2,14,0,16,0,0,6,8.77,1
33168,0,80,1,37,0,1,3,9.56,3
33585,91,30,11,33,13,6,29,8.61,2
77037,3,463,96,333,168,53,10,8.56,4
35196,68,75,12,141,43,39,187,9.48,3
44529,98,538,13,91,17,6,26,8.84,2
28764,16,8,0,3,0,0,1,7.92,1
69098,82,1315,22,780,145,0,178,9.22,0
25959,1,4,2,12,7,5,26,9.22,3
27100,64,12,0,13,2,0,10,9.08,3
70596,68,347,44,534,17,0,26,9.58,0
42557,98,192,5,53,0,5,15,9.68,3
53312,32,241,0,12,0,0,25,8.74,1
72228,87,631,28,491,30,14,56,9.44,0
67605,84,336,28,282,184,54,54,9.1,4
62845,3,1099,0,45,0,0,34,9.59,0
65196,34,743,19,181,12,0,200,8.78,0
42000,23,124,83,267,85,59,35,9.32,4
35860,37,15,0,8,4,2,20,7.96,1
